"name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"FLM GUAM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"ALEX CITY COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,201,346,10003721,"010000000071400000000","Current","HIFLD","HIFLD",32.90447114,-86.00896897,1037,35011,"ALEX CITY","COOSA"
"ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med","A","F",NA,NA,1267,1536,10006173,NA,"Current","HIFLD","HIFLD",33.17626974,-88.19304609,10107,35442,"ALICEVILLE","PICKENS"
"ALABAMA TREATMENT AND EDUCATION FACILITY","Alabama","state","Prison",NA,"A","M","Different Operator","GeoGroup",281,724,10006524,NA,"Current","HIFLD","HIFLD",33.18100499,-86.62401724,1117,35051,"COLUMBIANA","SHELBY"
"BIBB CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1808,1914,10001954,"010000000074100000000","Current","HIFLD","HIFLD",32.92242,-87.16458,1007,35034,"BRENT","BIBB"
"BIRMINGHAM COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,239,312,10001204,"018037666070100000000","Current","HIFLD","HIFLD",33.53104632,-86.80836181,1073,35234,"BIRMINGHAM","JEFFERSON"
"BULLOCK CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1343,1658,10001223,"010000000073200000000","Current","HIFLD","HIFLD",32.14940285,-85.67232013,1011,36089,"UNION SPRINGS","BULLOCK"
"CAMDEN COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,93,162,10000142,"010000000071500000000","Current","HIFLD","HIFLD",31.99483708,-87.33312321,1131,36726,"CAMDEN","WILCOX"
"CHILDERSBURG COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,NA,NA,NA,NA,368,550,10001209,"010000000073600000000","Current","HIFLD","HIFLD",33.36493323,-86.33219762,1121,35014,"ALPINE","TALLADEGA"
"CJC","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"DONALDSON CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1386,1760,10000132,"010000000072300000000","Current","HIFLD","HIFLD",33.51366663,-87.18478369,1073,35023,"BESSEMER","JEFFERSON"
"DRAPER QUARANTINE INTAKE FACILITY","Alabama","state","Reception Center",NA,"A","M",NA,NA,NA,1232,NA,"010000000070300000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"EASTERLING CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1229,1267,10000144,"010000000073300000000","Current","HIFLD","HIFLD",31.68938149,-85.58555889,1005,36017,"CLIO","BARBOUR"
"ELBA COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,130,250,10001226,"010000000071700000000","Current","HIFLD","HIFLD",31.41312386,-86.08373748,1031,36323,"ELBA","COFFEE"
"ELMORE CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1161,1176,10001214,"010000000072600000000","Current","HIFLD","HIFLD",32.57430479,-86.32080582,1051,36025,"ELMORE","ELMORE"
"TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"016061666070100000000","Current",NA,NA,NA,NA,1121,NA,NA,NA
"FOUNTAIN CORRECTIONAL FACILITY","Alabama","state","Prison",NA,"A","M",NA,NA,1136,1613,10001957,"010000000070600000000","Current","HIFLD","HIFLD",31.15658,-87.46372,1053,36503,"ATMORE","ESCAMBIA"
"FRANK LEE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,285,300,10003728,"010000000705000000000","Current","HIFLD","HIFLD",32.58235451,-86.39221844,1051,36022,"DEATSVILLE","ELMORE"
"HAMILTON AGED AND INFIRMED","Alabama","state","Aged and Infirmed",NA,"A","M",NA,NA,243,300,10001197,"010000000073100000000","Current","HIFLD","HIFLD",34.12434611,-87.99171938,1093,35570,"HAMILTON","MARION"
"HAMILTON COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,220,264,10001199,"010000000071000000000","Current","HIFLD","HIFLD",34.14329559,-87.95895958,1093,35570,"HAMILTON","MARION"
"HOLMAN CORRECTIONAL FACILITY","Alabama","state","Prison","Max","A","M",NA,NA,700,1002,10000149,"010000000070200000000","Current","HIFLD","HIFLD",31.13438612,-87.4498642,1053,36503,"ATMORE","ESCAMBIA"
"KEETON CORRECTIONS INC BIRMINGHAM RRC","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,1073,NA,NA,NA
"KILBY CORRECTIONAL FACILITY","Alabama","state","Reception Center","Max/Min","A","M",NA,NA,1231,1421,10001221,"010000000070100000000","Current","HIFLD","HIFLD",32.38835654,-86.1009811,1101,36117,"MONTGOMERY","MONTGOMERY"
"LIMESTONE CORRECTIONAL FACILITY","Alabama","state","Prison","Med","A","M",NA,NA,2107,2086,10000129,"010000000072900000000","Current","HIFLD","HIFLD",34.81254392,-86.80413307,1083,35749,"HARVEST","LIMESTONE"
"LOXLEY COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,356,562,10000146,"010000000073800000000","Current","HIFLD","HIFLD",30.6153358,-87.77030984,1003,36551,"LOXLEY","BALDWIN"
"MOBILE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,NA,NA,NA,NA,192,254,10000150,"010000000072200000000","Current","HIFLD","HIFLD",30.73788106,-88.10905742,1097,36610,"PRITCHARD","MOBILE"
"MONTGOMERY FEDERAL PRISON CAMP","Alabama","federal","Prison","Min","A","M",NA,NA,858,920,10000141,"016051666072300000000","Current","HIFLD","HIFLD",32.39424124,-86.35915818,1101,36112,"MONTGOMERY","MONTGOMERY"
"MONTGOMERY WOMENS FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,274,300,10001222,"010000000071300000000","Current","HIFLD","HIFLD",NA,NA,1101,36117,"MONTGOMERY","MONTGOMERY"
"NORTH ALABAMA COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,555,740,10003698,NA,"Current","HIFLD","HIFLD",34.61756728,-87.00562813,1103,35601,"DECATUR","MORGAN"
"RED EAGLE COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,333,340,10001218,"010000000070800000000","Current","HIFLD","HIFLD",32.46559439,-86.23690422,1101,36110,"MONTGOMERY","MONTGOMERY"
"REGIONAL TRAINING CENTERS","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"RRC BIRMINGHAM ALABAMA","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"RRC SPANISH FORT ALABAMA","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"ST CLAIR CORRECTIONAL FACILITY","Alabama","state","Prison","Max","A","M",NA,NA,964,1514,10003710,"010000000072700000000","Current","HIFLD","HIFLD",33.74558817,-86.38437373,1115,35146,"SPRINGVILLE","ST CLAIR"
"STATEWIDE","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"STATON CORRECTIONAL FACILITY","Alabama","state","Prison","Max/Med","A","M",NA,NA,1303,1376,10000140,"010000000070900000000","Current","HIFLD","HIFLD",32.5772157,-86.33248852,1051,36025,"ELMORE","ELMORE"
"TALLADEGA AL","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,1121,NA,NA,NA
"TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med/Min","A","M",NA,NA,793,624,10000136,NA,"Current","HIFLD","HIFLD",33.42063528,-86.14008892,1121,35160,"TALLADEGA","TALLADEGA"
"TRAINING ACADEMY","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"TUTWILER PRISON FOR WOMEN","Alabama","state","Reception Center","Max/Med","A","M",NA,NA,565,975,10001216,"010000000070400000000","Current","HIFLD","HIFLD",32.5640382,-86.1940048,1051,36092,"WETUMPKA","ELMORE"
"TUTWILER PRISON FOR WOMEN","Alabama","state","Reception Center","Max/Med","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"ALABAMA HEADQUARTERS","Alabama","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"TUTWILER QUARANTINE INTAKE FACILITY","Alabama","state","Reception Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"VENTRESS CORRECTIONAL FACILITY","Alabama","state","Prison","Med","A","M",NA,NA,1245,1650,10000143,"010000000073500000000","Current","HIFLD","HIFLD",31.88902864,-85.49299808,1005,36016,"CLAYTON","BARBOUR"
"ANCHORAGE CCC","Alaska",NA,NA,NA,NA,NA,NA,NA,832,863,10003757,NA,"Previous","HIFLD","HIFLD",61.21842095,-149.8562424,2020,99501,"ANCHORAGE","ANCHORAGE"
"GOOSE CREEK CC","Alaska",NA,NA,NA,NA,NA,NA,NA,1125,1536,10006386,NA,"Previous","HIFLD","HIFLD",61.36030624,-150.0084479,2170,99623,"WASILLA","MATANUSKA-SUSITNA"
"LEMON CREEK CC JUNEAU","Alaska",NA,NA,NA,NA,NA,NA,NA,209,232,10001241,"020000000070500000000","Previous","HIFLD","HIFLD",58.36260637,-134.4840555,2110,99801,"JUNEAU","JUNEAU"
"STATEWIDE","Alaska","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"038007666074610000000","Previous",NA,NA,33.4588091,-112.0198483,4013,85008,"PHOENIX",NA
"CENTRAL ARIZONA CORRECTIONAL FACILITY","Arizona","state","Prison","Med","A","M","Different Operator","GeoGroup",1273,1280,10000618,"038000000076800000000","Current","HIFLD","HIFLD",33.03731012,-111.3727528,4021,85132,"FLORENCE","PINAL"
"CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX","Arizona",NA,NA,NA,NA,NA,NA,NA,1278,4128,10000619,NA,"Previous","HIFLD","HIFLD",33.04417322,-111.3754981,4021,85132,"FLORENCE","PINAL"
"CENTRAL ARIZONA FLORENCE CORRECTIONAL COMPLEX RRC","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"CENTRAL AZ DETENTION CENTER","Arizona","federal","Detention Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"DISMAS CHARITIES RRC TUCSON","Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"038010666076600000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
