Name.Raw,Name.Clean,State,Jurisdiction,Is.Federal
ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,Alabama,federal,1
MONTGOMERY FEDERAL PRISON CAMP,MONTGOMERY FEDERAL PRISON CAMP,Alabama,federal,1
TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,TALLADEGA FEDERAL CORRECTIONAL INSTITUTION,Alabama,federal,1
ADOC HEADQUARTERS,ALABAMA HEADQUARTERS,Alabama,state,0
ALABAMA CORRECTIONS ACADEMY,ALABAMA CORRECTIONS ACADEMY,Alabama,state,0
ALEX CITY,ALEX CITY COMMUNITY BASED FACILITY,Alabama,state,0
ATEF,ALABAMA TREATMENT AND EDUCATION FACILITY,Alabama,state,0
BIBB,BIBB CORRECTIONAL FACILITY,Alabama,state,0
BIRMINGHAM,BIRMINGHAM COMMUNITY BASED FACILITY,Alabama,state,0
BULLOCK,BULLOCK CORRECTIONAL FACILITY,Alabama,state,0
CAMDEN,CAMDEN COMMUNITY BASED FACILITY,Alabama,state,0
CHILDERSBURG,CHILDERSBURG COMMUNITY BASED FACILITY,Alabama,state,0
DONALDSON,DONALDSON CORRECTIONAL FACILITY,Alabama,state,0
DRAPER QIF,DRAPER QUARANTINE INTAKE FACILITY,Alabama,state,0
EASTERLING,EASTERLING CORRECTIONAL FACILITY,Alabama,state,0
ELBA,ELBA COMMUNITY BASED FACILITY,Alabama,state,0
ELMORE,ELMORE CORRECTIONAL FACILITY,Alabama,state,0
FOUNTAIN,FOUNTAIN CORRECTIONAL FACILITY,Alabama,state,0
FRANK LEE,FRANK LEE COMMUNITY BASED FACILITY,Alabama,state,0
HAMILTON A I,HAMILTON AGED AND INFIRMED,Alabama,state,0
HAMILTON CBF,HAMILTON COMMUNITY BASED FACILITY,Alabama,state,0
HOLMAN,HOLMAN CORRECTIONAL FACILITY,Alabama,state,0
KILBY,KILBY CORRECTIONAL FACILITY,Alabama,state,0
LIMESTONE,LIMESTONE CORRECTIONAL FACILITY,Alabama,state,0
LOXLEY,LOXLEY COMMUNITY BASED FACILITY,Alabama,state,0
MOBILE,MOBILE COMMUNITY BASED FACILITY,Alabama,state,0
MONTGOMERY WF,MONTGOMERY WOMENS FACILITY,Alabama,state,0
NORTH ALABAMA,NORTH ALABAMA COMMUNITY BASED FACILITY,Alabama,state,0
RED EAGLE,RED EAGLE COMMUNITY BASED FACILITY,Alabama,state,0
ST CLAIR,ST CLAIR CORRECTIONAL FACILITY,Alabama,state,0
STATON,STATON CORRECTIONAL FACILITY,Alabama,state,0
TUTWILER PRISON FOR WOMEN,TUTWILER PRISON FOR WOMEN,Alabama,state,0
TUTWILER QIF,TUTWILER QUARANTINE INTAKE FACILITY,Alabama,state,0
VENTRESS,VENTRESS CORRECTIONAL FACILITY,Alabama,state,0
STATEWIDE,STATEWIDE,Alaska,state,0
MARICOPA COUNTY JAIL,MARICOPA COUNTY JAIL,Arizona,county,0
BEHAVIORAL SYSTEMS SOUTHWEST INC RESIDENTIAL REENTRY CENTER PHOENIX,BEHAVIORAL SYSTEMS SOUTHWEST INC RESIDENTIAL REENTRY CENTER PHOENIX,Arizona,federal,1
CENTRAL AZ DETENTION CENTER,CENTRAL AZ DETENTION CENTER,Arizona,federal,1
PHOENIX FEDERAL CORRECTIONAL INSTITUTION,PHOENIX FEDERAL CORRECTIONAL INSTITUTION,Arizona,federal,1
SAFFORD FEDERAL CORRECTIONAL INSTITUTION,SAFFORD FEDERAL CORRECTIONAL INSTITUTION,Arizona,federal,1
TUCSON FEDERAL CORRECTIONAL INSTITUTION,TUCSON FEDERAL CORRECTIONAL INSTITUTION,Arizona,federal,1
TUCSON UNITED STATES PENITENTIARY,TUCSON UNITED STATES PENITENTIARY,Arizona,federal,1
CACF,CENTRAL ARIZONA CORRECTIONAL FACILITY,Arizona,state,0
DOUGLAS,DOUGLAS STATE PRISON,Arizona,state,0
EYMAN,EYMAN STATE PRISON,Arizona,state,0
FLORENCE,FLORENCE STATE PRISON,Arizona,state,0
FLORENCE WEST,FLORENCE WEST STATE PRISON,Arizona,state,0
KINGMAN,KINGMAN STATE PRISON,Arizona,state,0
LEWIS,LEWIS STATE PRISON,Arizona,state,0
MARANA,MARANA STATE PRISON,Arizona,state,0
MRC,MARICOPA REEENTRY CENTER,Arizona,state,0
PERRYVILLE,PERRYVILLE STATE PRISON,Arizona,state,0
PHOENIX,PHOENIX STATE PRISON,Arizona,state,0
PHOENIX WEST,PHOENIX WEST STATE PRISON,Arizona,state,0
PRC,PIMA REENTRY CENTER,Arizona,state,0
